pathwayDb	network	module	term	termId	P.hypergeom	P.noncentral	P.hypergeom.bonf	P.noncentral.bonf	P.hypergeom.fdr	P.noncentral.fdr
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	glutathione derivative biosynthetic process	GO:1901687	5.04E-02	4.70E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cell cycle G2/M phase transition	GO:0044839	4.07E-02	2.41E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	immune response-activating signal transduction	GO:0002757	5.68E-04	3.78E-04	1.00E+00	1.00E+00	1.31E-01	1.24E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	innate immune response-activating signal transduction	GO:0002758	2.27E-04	1.99E-04	1.00E+00	1.00E+00	6.30E-02	7.43E-02
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	proteolysis involved in cellular protein catabolic process	GO:0051603	3.09E-02	2.14E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	stress-activated MAPK cascade	GO:0051403	3.08E-02	2.51E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	NIK/NF-kappaB signaling	GO:0038061	2.31E-02	2.84E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of NF-kappaB import into nucleus	GO:0042347	4.75E-02	3.99E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	immune response-regulating signaling pathway	GO:0002764	8.37E-04	6.01E-04	1.00E+00	1.00E+00	1.78E-01	1.77E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	immune response-regulating cell surface receptor signaling pathway	GO:0002768	1.21E-02	1.06E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0031146	1.64E-02	2.08E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
